NOM_SCIENTIFIQUE;NOM_LATIN
Tapeinosperma pulchellum Mez, 1905;Tapeinosperma pulchellum
Tapeinosperma robustum Mez, 1902;Tapeinosperma robustum
Tapeinosperma rubidum Mez, 1905;Tapeinosperma rubidum
Tapeinosperma rubriscapum Guillaumin, 1959;Tapeinosperma rubriscapum
Tapeinosperma scrobiculatum (Seem.) Mez;Tapeinosperma scrobiculatum
Tapeinosperma sessilifolium Mez, 1902;Tapeinosperma sessilifolium
Tapeinosperma squarrosum Mez, 1905;Tapeinosperma squarrosum
Tapeinosperma storezii M.Schmid, 2012;Tapeinosperma storezii
Tapeinosperma tchingouense M.Schmid, 2012;Tapeinosperma tchingouense
Tapeinosperma tenue Mez, 1902;Tapeinosperma tenue
Tapeinosperma veillonii M.Schmid, 2012;Tapeinosperma veillonii
Tapeinosperma vestitum Mez, 1902;Tapeinosperma vestitum
Tapeinosperma vieillardii Hook.f., 1876;Tapeinosperma vieillardii
Tapeinosperma wagapense Mez, 1902;Tapeinosperma wagapense
Tapeinosperma whitei Guillaumin, 1926;Tapeinosperma whitei
Tapinanthinae Nickrent & Vidal-Russ., 2010;Tapinanthinae Nickrent
Tapirira Aubl., 1775;Tapirira Aubl
Tapirira bethanniana J.D.Mitch., 1990;Tapirira bethanniana
Tapirira guianensis Aubl., 1775;Tapirira guianensis
Tapirira obtusa (Benth.) J.D.Mitch., 1993;Tapirira obtusa
Tapura amazonica Poepp., 1843;Tapura amazonica
Tapura Aubl., 1775;Tapura Aubl
Tapura capitulifera Baill., 1873;Tapura capitulifera
Tapura guianensis Aubl., 1775;Tapura guianensis
Tapura latifolia Benth., 1853;Tapura latifolia
Tapura singularis Ducke, 1947;Tapura singularis
Taquara I.L.C.Oliveira & R.P.Oliveira, 2019;Taquara I
Taquara micrantha (Kunth) I.L.C.Oliveira & R.P.Oliveira, 2019;Taquara micrantha
Taralea Aubl., 1775;Taralea Aubl
Taralea cordata Ducke, 1925;Taralea cordata
Taralea crassifolia (Spruce ex Benth.) Ducke, 1922;Taralea crassifolia
Taralea nudipes (Tul.) Ducke, 1922;Taralea nudipes
Taralea oppositifolia Aubl., 1775;Taralea oppositifolia
Taraxacum aberrans Hagend., Soest & Zevenb., 1974;Taraxacum aberrans
Taraxacum acervatulum Rail., 1964;Taraxacum acervatulum
Taraxacum acutangulum Markl., 1926;Taraxacum acutangulum
Taraxacum adamii Claire, 1891;Taraxacum adamii
Taraxacum adamiifolium Sahlin, 1975;Taraxacum adamiifolium
Taraxacum aemulans Kirschner & Štěpánek, 2013;Taraxacum aemulans
Taraxacum aequilobiforme Soest, 1959;Taraxacum aequilobiforme
Taraxacum aeruginiceps G.E.Haglund ex Sahlin, 1974;Taraxacum aeruginiceps
Taraxacum aestivum Soest, 1959;Taraxacum aestivum
Taraxacum aginnense Hofstra, 1985;Taraxacum aginnense
Taraxacum agrarium Sonck, 1983;Taraxacum agrarium
Taraxacum alacre Soest, 1975;Taraxacum alacre
Taraxacum alatum H.Lindb., 1907;Taraxacum alatum
Taraxacum albulense Soest, 1964;Taraxacum albulense
Taraxacum alienum Dahlst., 1927;Taraxacum alienum
Taraxacum alpestre (Tausch) DC., 1838;Taraxacum alpestre
Taraxacum amansii Hofstra, 1989;Taraxacum amansii
Taraxacum ampelophytum Sahlin, 1974;Taraxacum ampelophytum
Taraxacum ancistrolobum Dahlst., 1925;Taraxacum ancistrolobum
Taraxacum anglicum Dahlst., 1920;Taraxacum anglicum
Taraxacum angustisquameum Dahlst. ex H.Lindb., 1907;Taraxacum angustisquameum
Taraxacum apenninum Dahlst. ex H.Lindb.;Taraxacum apenninum
Taraxacum aquilonare Hand.-Mazz., 1912;Taraxacum aquilonare
Taraxacum aquitanum Hofstra, 1989;Taraxacum aquitanum
Taraxacum aragonicum Sahlin, 1981;Taraxacum aragonicum
Taraxacum argillicola Soest, 1977;Taraxacum argillicola
Taraxacum atactum Sahlin & Soest, 1970;Taraxacum atactum
Taraxacum atrolivaceum Kirschner & Štěpánek, 2013;Taraxacum atrolivaceum
Taraxacum aurosuloides Soest, 1966;Taraxacum aurosuloides
Taraxacum aurosulum H.Lindb., 1909;Taraxacum aurosulum
Taraxacum austrinum G.E.Haglund, 1946;Taraxacum austrinum
Taraxacum autumnale Castagne, 1845;Taraxacum autumnale
Taraxacum autumnaliforme Soest, 1966;Taraxacum autumnaliforme
Taraxacum balticiforme Dahlst., 1933;Taraxacum balticiforme
Taraxacum bavaricum Soest, 1965;Taraxacum bavaricum
Taraxacum besarabicum (Hornem.) Hand.-Mazz., 1907;Taraxacum besarabicum
Taraxacum bifalcatum Sonck, 1983;Taraxacum bifalcatum
Taraxacum binilobatum Sahlin, 1982;Taraxacum binilobatum
Taraxacum bithynicum DC., 1838;Taraxacum bithynicum
Taraxacum blomgrenii G.E.Haglund, 1937;Taraxacum blomgrenii
Taraxacum boekmanii Borgv., 1959;Taraxacum boekmanii
Taraxacum brachyglossum (Dahlst.) Dahlst., 1906;Taraxacum brachyglossum
Taraxacum brachypodon G.E.Haglund & Soest, 1969;Taraxacum brachypodon
Taraxacum bracteatum Dahlst., 1925;Taraxacum bracteatum
Taraxacum braun-blanquetii Soest, 1954;Taraxacum braun-blanquetii
Taraxacum brevifloroides Soest, 1969;Taraxacum brevifloroides
Taraxacum britannicum Dahlst., 1929;Taraxacum britannicum
Taraxacum cacuminatum G.E.Haglund, 1936;Taraxacum cacuminatum
Taraxacum caespitosum Soest, 1976;Taraxacum caespitosum
Taraxacum callosum Soest, 1959;Taraxacum callosum
Taraxacum calomorphum G.E.Haglund & Soest, 1969;Taraxacum calomorphum
Taraxacum caloschistoides G.E.Haglund ex Sahlin, 1975;Taraxacum caloschistoides
Taraxacum caloschistum Dahlst., 1911;Taraxacum caloschistum
Taraxacum campylodes G.E.Haglund, 1948;Taraxacum campylodes
Taraxacum capricum Soest, 1966;Taraxacum capricum
Taraxacum castaneum Soest, 1957;Taraxacum castaneum
Taraxacum caudatulum Dahlst., 1910;Taraxacum caudatulum
Taraxacum cenabense Sahlin, 1983;Taraxacum cenabense
Taraxacum ciliare Soest, 1965;Taraxacum ciliare
Taraxacum ciliatum Soest, 1954;Taraxacum ciliatum
Taraxacum cinereum Soest, 1969;Taraxacum cinereum
Taraxacum circinatum G.E.Haglund & Soest, 1969;Taraxacum circinatum
Taraxacum clemens Matysiak, 2009;Taraxacum clemens
Taraxacum cognoscibile Kirschner & Štěpánek, 2013;Taraxacum cognoscibile
Taraxacum commixtum G.E.Haglund, 1941;Taraxacum commixtum
Taraxacum congestolobum Soest, 1961;Taraxacum congestolobum
Taraxacum cophocentrum Dahlst., 1929;Taraxacum cophocentrum
Taraxacum cordatum Palmgr., 1910;Taraxacum cordatum
Taraxacum croceiflorum Dahlst., 1910;Taraxacum croceiflorum
Taraxacum cucullatiforme Soest, 1957;Taraxacum cucullatiforme
Taraxacum cucullatum Dahlst., 1907;Taraxacum cucullatum
Taraxacum curvatum Dahlst., 1933;Taraxacum curvatum
Taraxacum cyanolepidiforme Soest, 1964;Taraxacum cyanolepidiforme
Taraxacum cyrtum Sahlin, 1984;Taraxacum cyrtum
Taraxacum debrayi Hagend., Soest & Zevenb., 1972;Taraxacum debrayi
Taraxacum decrepitum Kirschner & Štěpánek, 1998;Taraxacum decrepitum
Taraxacum delanghei Soest, 1965;Taraxacum delanghei
Taraxacum dens-leonis Desf., 1799;Taraxacum dens-leonis
Taraxacum dilatatum H.Lindb., 1907;Taraxacum dilatatum
Taraxacum dilucidum Soest, 1976;Taraxacum dilucidum
Taraxacum discretum H.Øllg., 1986;Taraxacum discretum
Taraxacum dissectum (Ledeb.) Ledeb., 1846;Taraxacum dissectum
Taraxacum disseminatum G.E.Haglund, 1947;Taraxacum disseminatum
Taraxacum drucei Dahlst., 1923;Taraxacum drucei
Taraxacum dunense Soest, 1956;Taraxacum dunense
Taraxacum duplidentifrons Dahlst., 1929;Taraxacum duplidentifrons
Taraxacum ekmanii Dahlst., 1911;Taraxacum ekmanii
Taraxacum ekmaniiforme Hagend., Soest & Zevenb., 1976;Taraxacum ekmaniiforme
Taraxacum elaverinum Sahlin, 1984;Taraxacum elaverinum
Taraxacum eminens Soest, 1977;Taraxacum eminens
Taraxacum erythrospermum Andrz. ex Besser, 1821;Taraxacum erythrospermum
Taraxacum eudontum Sahlin, 1976;Taraxacum eudontum
Taraxacum euranum Soest, 1976;Taraxacum euranum
Taraxacum euryanthes G.E.Haglund & Soest, 1969;Taraxacum euryanthes
Taraxacum exiguum Soest, 1976;Taraxacum exiguum
Taraxacum expallidiforme Dahlst., 1910;Taraxacum expallidiforme
Taraxacum exsanguineum Soest, 1977;Taraxacum exsanguineum
Taraxacum exsurgens Soest, 1977;Taraxacum exsurgens
Taraxacum F.H.Wigg., 1780;Taraxacum F
Taraxacum fasciatiforme Soest, 1961;Taraxacum fasciatiforme
Taraxacum ferale Kirschner & Štěpánek, 1998;Taraxacum ferale
Taraxacum fimbriatum Sonck, 1990;Taraxacum fimbriatum
Taraxacum flandricum Hagend., Soest & Zevenb., 1976;Taraxacum flandricum
Taraxacum flos-lacus Štěpánek & Kirschner, 2001;Taraxacum flos-lacus
Taraxacum fontanicola Soest, 1959;Taraxacum fontanicola
Taraxacum fontanosquameum Soest, 1959;Taraxacum fontanosquameum
Taraxacum fontanum Hand.-Mazz., 1907;Taraxacum fontanum
Taraxacum formosum Soest, 1969;Taraxacum formosum
Taraxacum frugale Hagend., Oosterv. & Zevenb., 1997;Taraxacum frugale
Taraxacum fulgidum G.E.Haglund, 1938;Taraxacum fulgidum
Taraxacum fulviforme Dahlst., 1923;Taraxacum fulviforme
Taraxacum fulvum Raunk., 1906;Taraxacum fulvum
Taraxacum gaditanum Talavera, 1986;Taraxacum gaditanum
Taraxacum gallicum Soest, 1961;Taraxacum gallicum
Taraxacum gasparrinii Tineo ex Lojac., 1903;Taraxacum gasparrinii
Taraxacum gelertii Raunk., 1906;Taraxacum gelertii
Taraxacum gelricum Soest, 1965;Taraxacum gelricum
Taraxacum glandiforme Sonck, 1983;Taraxacum glandiforme
Taraxacum glandonense Soest, 1977;Taraxacum glandonense
Taraxacum glauciniforme Dahlst., 1929;Taraxacum glauciniforme
Taraxacum graminicolor Soest, 1975;Taraxacum graminicolor
Taraxacum graniticum Soest, 1976;Taraxacum graniticum
Taraxacum gymnanthum (Link) DC., 1838;Taraxacum gymnanthum
Taraxacum hamatiforme Dahlst., 1918;Taraxacum hamatiforme
Taraxacum hamatulum Hagend., Soest & Zevenb., 1973;Taraxacum hamatulum
Taraxacum hamatum Raunk., 1906;Taraxacum hamatum
Taraxacum hamiferum Dahlst., 1929;Taraxacum hamiferum
Taraxacum helveticum Soest, 1959;Taraxacum helveticum
Taraxacum herae Sonck, 1984;Taraxacum herae
Taraxacum hollandicum Soest, 1942;Taraxacum hollandicum
Taraxacum homoschistum H.Øllg., 2006;Taraxacum homoschistum
Taraxacum hygrophilum Soest, 1956;Taraxacum hygrophilum
Taraxacum impolitum Rail., 1964;Taraxacum impolitum
Taraxacum inclinans G.E.Haglund & Soest, 1969;Taraxacum inclinans
Taraxacum inconspicuum Soest, 1973;Taraxacum inconspicuum
Taraxacum infradentatum Sonck, 1983;Taraxacum infradentatum
Taraxacum infuscatum H.Øllg., 2003;Taraxacum infuscatum
Taraxacum invocatum Sonck, 1985;Taraxacum invocatum
Taraxacum irrigatum Kirschner & Štěpánek, 1992;Taraxacum irrigatum
Taraxacum kraettlii Soest, 1959;Taraxacum kraettlii
Taraxacum lacistophylloides Dahlst., 1933;Taraxacum lacistophylloides
Taraxacum lacistophyllum (Dahlst.) Raunk., 1906;Taraxacum lacistophyllum
Taraxacum laetiforme Dahlst., 1909;Taraxacum laetiforme
Taraxacum lambinonii Soest, 1961;Taraxacum lambinonii
Taraxacum lamprophyllum M.P.Christ., 1936;Taraxacum lamprophyllum
Taraxacum lawalreei Soest, 1966;Taraxacum lawalreei
Taraxacum leucospermum Jord., 1848;Taraxacum leucospermum
Taraxacum ligerinum Sahlin, 1974;Taraxacum ligerinum
Taraxacum linearisquameum Soest, 1966;Taraxacum linearisquameum
Taraxacum lingulatum Markl., 1925;Taraxacum lingulatum
Taraxacum litardierei Soest, 1957;Taraxacum litardierei
Taraxacum longisquameum H.Lindb., 1907;Taraxacum longisquameum
Taraxacum lucescens Dahlst., 1925;Taraxacum lucescens
Taraxacum lucidiforme Hagend., Soest & Zevenb., 1973;Taraxacum lucidiforme
Taraxacum maculatum Jord., 1852;Taraxacum maculatum
Taraxacum madidum Kirschner & Štěpánek, 1994;Taraxacum madidum
Taraxacum marklundii Palmgr., 1910;Taraxacum marklundii
Taraxacum marmottae Sonck, 1990;Taraxacum marmottae
Taraxacum mattmarkense Soest, 1959;Taraxacum mattmarkense
Taraxacum mediterraneum Soest, 1954;Taraxacum mediterraneum
Taraxacum megalorhizon (Forssk.) Hand.-Mazz., 1907;Taraxacum megalorhizon
Taraxacum meiseliae Soest, 1969;Taraxacum meiseliae
Taraxacum melittostylum H.Øllg., 2007;Taraxacum melittostylum
Taraxacum mimulum Dahlst., 1907;Taraxacum mimulum
Taraxacum miniatum H.Lindb., 1932;Taraxacum miniatum
Taraxacum minimum (V.Brig. ex Guss.) N.Terracc., 1869;Taraxacum minimum
Taraxacum montesignum Soest, 1954;Taraxacum montesignum
Taraxacum morulum G.E.Haglund & Soest, 1969;Taraxacum morulum
Taraxacum multidentatum Soest, 1966;Taraxacum multidentatum
Taraxacum multidenticulatum Soest, 1966;Taraxacum multidenticulatum
Taraxacum multilepis Kirschner & Štěpánek, 1989;Taraxacum multilepis
Taraxacum navarrense Sonck, 1985;Taraxacum navarrense
Taraxacum nitidiorum Soest, 1966;Taraxacum nitidiorum
Taraxacum nordstedtii Dahlst., 1911;Taraxacum nordstedtii
Taraxacum obliquilobum Dahlst., 1910;Taraxacum obliquilobum
Taraxacum oblongatum Dahlst., 1930;Taraxacum oblongatum
Taraxacum obovatum (Waldst. & Kit. ex Willd.) DC., 1809;Taraxacum obovatum
Taraxacum obtusilobum Dahlst., 1935;Taraxacum obtusilobum
Taraxacum ochrocarpum (Soest) J.-M.Tison, 2010;Taraxacum ochrocarpum
Taraxacum ochrospermum Soest, 1969;Taraxacum ochrospermum
Taraxacum odiosum Kirschner & Štěpánek, 1998;Taraxacum odiosum
Taraxacum officinale F.H.Wigg., 1780;Taraxacum officinale
Taraxacum oinopopodum Sahlin, 1977;Taraxacum oinopopodum
Taraxacum olivaceoides Soest, 1969;Taraxacum olivaceoides
Taraxacum ooststroomii Soest, 1966;Taraxacum ooststroomii
Taraxacum ostenfeldii Raunk., 1903;Taraxacum ostenfeldii
Taraxacum oxoniense Dahlst., 1923;Taraxacum oxoniense
Taraxacum oxyrhinum Sahlin, 1975;Taraxacum oxyrhinum
Taraxacum pacheri Sch.Bip., 1848;Taraxacum pacheri
Taraxacum pallescens Dahlst., 1910;Taraxacum pallescens
Taraxacum pallescentiforme Soest, 1969;Taraxacum pallescentiforme
Taraxacum pallidisquameum Soest, 1966;Taraxacum pallidisquameum
Taraxacum palustre (Lyons) Symons, 1798;Taraxacum palustre
Taraxacum panalpinum Soest, 1959;Taraxacum panalpinum
Taraxacum pannucium Dahlst., 1925;Taraxacum pannucium
Taraxacum pannulatum Dahlst., 1910;Taraxacum pannulatum
Taraxacum parnassicum Dahlst., 1926;Taraxacum parnassicum
Taraxacum paucidentatum Soest, 1969;Taraxacum paucidentatum
Taraxacum pectinatiforme H.Lindb., 1907;Taraxacum pectinatiforme
Taraxacum pedemontanum Soest, 1969;Taraxacum pedemontanum
Taraxacum peregrinum G.E.Haglund & Soest, 1969;Taraxacum peregrinum
Taraxacum perfissum Soest, 1959;Taraxacum perfissum
Taraxacum piceatum Dahlst., 1910;Taraxacum piceatum
Taraxacum pinnatifidum Soest, 1975;Taraxacum pinnatifidum
Taraxacum placidum A.J.Richards, 1972;Taraxacum placidum
Taraxacum pohlii Soest, 1959;Taraxacum pohlii
Taraxacum polyodon Dahlst., 1910;Taraxacum polyodon
Taraxacum polyschistum Dahlst., 1909;Taraxacum polyschistum
Taraxacum pomposum Kirschner & Štěpánek, 2013;Taraxacum pomposum
Taraxacum praeticum Soest, 1959;Taraxacum praeticum
Taraxacum prionum Hagend., Soest & Zevenb., 1972;Taraxacum prionum
Taraxacum procerum G.E.Haglund, 1936;Taraxacum procerum
Taraxacum providens Soest, 1977;Taraxacum providens
Taraxacum proximum (Dahlst.) Dahlst., 1906;Taraxacum proximum
Taraxacum pseudacrolobum Hagend., Soest & Zevenb., 1978;Taraxacum pseudacrolobum
Taraxacum pseudocastaneum Soest, 1966;Taraxacum pseudocastaneum
Taraxacum pseudodilatatum Soest, 1969;Taraxacum pseudodilatatum
Taraxacum pseudodunense Soest, 1961;Taraxacum pseudodunense
Taraxacum pseudofontanum Soest, 1959;Taraxacum pseudofontanum
Taraxacum pseudohamatum Dahlst., 1932;Taraxacum pseudohamatum
Taraxacum pseudohoppeanum Kirschner & Štěpánek, 1985;Taraxacum pseudohoppeanum
Taraxacum pseudomarklundii Soest, 1954;Taraxacum pseudomarklundii
Taraxacum pulcherrimum H.Lindb., 1907;Taraxacum pulcherrimum
Taraxacum puniceum Sahlin, 1984;Taraxacum puniceum
Taraxacum purpureocornutum Soest, 1957;Taraxacum purpureocornutum
Taraxacum purpureomarginatum Soest, 1964;Taraxacum purpureomarginatum
Taraxacum purpurisquameum Soest, 1975;Taraxacum purpurisquameum
Taraxacum pyrenaicum Reut., 1861;Taraxacum pyrenaicum
Taraxacum pyroporum Soest, 1960;Taraxacum pyroporum
Taraxacum pyrrhopappum Boiss. & Reut., 1842;Taraxacum pyrrhopappum
Taraxacum quadrans H.Øllg., 1978;Taraxacum quadrans
Taraxacum radens Sonck, 1998;Taraxacum radens
Taraxacum raii (Gouan) Gray, 1821;Taraxacum raii
Taraxacum reichlingii Soest, 1971;Taraxacum reichlingii
Taraxacum remanentilobum Soest, 1975;Taraxacum remanentilobum
Taraxacum renosense Soest, 1957;Taraxacum renosense
Taraxacum reophilum Soest, 1959;Taraxacum reophilum
Taraxacum replicatum Hagend., Soest & Zevenb., 1978;Taraxacum replicatum
Taraxacum retortum Soest, 1976;Taraxacum retortum
Taraxacum retroflexum H.Lindb., 1909;Taraxacum retroflexum
Taraxacum rhodopodum Dahlst. ex M.P.Christ. & Wiinst., 1934;Taraxacum rhodopodum
Taraxacum roseocarpum Soest, 1957;Taraxacum roseocarpum
Taraxacum roseolepis Soest, 1976;Taraxacum roseolepis
Taraxacum roseopedatum Soest, 1966;Taraxacum roseopedatum
Taraxacum rubicundum (Dahlst.) Dahlst., 1906;Taraxacum rubicundum
Taraxacum rubricatum Štěpánek & Kirschner, 2013;Taraxacum rubricatum
Taraxacum rufocarpoides Soest, 1969;Taraxacum rufocarpoides
Taraxacum rufocarpum Soest, 1959;Taraxacum rufocarpum
Taraxacum rufonerve Soest, 1969;Taraxacum rufonerve
Taraxacum saasense Soest, 1959;Taraxacum saasense
Taraxacum sabaudum Soest, 1966;Taraxacum sabaudum
Taraxacum sagittilobum W.Koch ex Soest, 1969;Taraxacum sagittilobum
Taraxacum scanicum Dahlst., 1911;Taraxacum scanicum
Taraxacum schroeterianum Hand.-Mazz., 1905;Taraxacum schroeterianum
Taraxacum selenoides Sahlin, 1975;Taraxacum selenoides
Taraxacum sellandii Dahlst., 1925;Taraxacum sellandii
Taraxacum serotinum (Waldst. & Kit.) Fisch., 1812;Taraxacum serotinum
Taraxacum stenoglossum Brenner, 1907;Taraxacum stenoglossum
Taraxacum subargutum Soest, 1969;Taraxacum subargutum
Taraxacum subarmatum Hagend., Soest & Zevenb., 1973;Taraxacum subarmatum
Taraxacum subditivum Hagend., Soest & Zevenb., 1973;Taraxacum subditivum
Taraxacum subericinum Hagend., Soest & Zevenb., 1973;Taraxacum subericinum
Taraxacum subgentiliforme G.E.Haglund & Soest, 1969;Taraxacum subgentiliforme
Taraxacum subjurassicum Soest, 1969;Taraxacum subjurassicum
Taraxacum subpraticola G.E.Haglund, 1934;Taraxacum subpraticola
Taraxacum taeniatum G.E.Haglund, 1942;Taraxacum taeniatum
Taraxacum tanyolobum Dahlst., 1933;Taraxacum tanyolobum
Taraxacum taraxacoides (Hornsch.) Willk., 1868;Taraxacum taraxacoides
Taraxacum tenebricans (Dahlst.) Dahlst., 1910;Taraxacum tenebricans
Taraxacum tenuiceps Soest, 1966;Taraxacum tenuiceps
Taraxacum tiroliense Dahlst., 1907;Taraxacum tiroliense
Taraxacum tortilobum Florstr., 1914;Taraxacum tortilobum
Taraxacum tourmalettense Soest, 1975;Taraxacum tourmalettense
Taraxacum triangularidentatum Soest, 1975;Taraxacum triangularidentatum
Taraxacum trilobatum Palmgr., 1910;Taraxacum trilobatum
Taraxacum tristiceps Soest, 1977;Taraxacum tristiceps
Taraxacum turbidum Sonck, 1998;Taraxacum turbidum
Taraxacum turgidum Meierott & H.Øllg., 2007;Taraxacum turgidum
Taraxacum udum Jord., 1852;Taraxacum udum
Taraxacum undulatiforme Dahlst., 1925;Taraxacum undulatiforme
Taraxacum undulatum H.Lindb. & Markl., 1911;Taraxacum undulatum
Taraxacum vastisectum Markl. ex Puol., 1933;Taraxacum vastisectum
Taraxacum venustum Dahlst., 1907;Taraxacum venustum
Taraxacum versaillense Soest, 1975;Taraxacum versaillense
Taraxacum vetteri Soest, 1959;Taraxacum vetteri
Taraxacum yvelinense Soest, 1975;Taraxacum yvelinense
Taraxacum zevenbergenii Soest, 1971;Taraxacum zevenbergenii
Tarenaya aculeata (L.) Soares Neto & Roalson, 2018;Tarenaya aculeata
Tarenaya hassleriana (Chodat) Iltis, 2007;Tarenaya hassleriana
Tarenaya latifolia (Vahl ex DC.) Soares Neto & Roalson, 2018;Tarenaya latifolia
Tarenaya parviflora (Kunth) Iltis, 2014;Tarenaya parviflora
Tarenaya Raf., 1838;Tarenaya Raf
Tarenaya spinosa (Jacq.) Raf., 1838;Tarenaya spinosa
Tarenaya virens (J.F.Macbr.) Soares Neto & Roalson, 2018;Tarenaya virens
Tarenna Gaertn., 1788;Tarenna Gaertn
Tarenna hexamera (Schltr. & K.Krause) Jérémie, 1987;Tarenna hexamera
Tarenna ignambiensis (Guillaumin) Jérémie, 1974;Tarenna ignambiensis
Tarenna lifouana (Däniker) Jérémie, 1974;Tarenna lifouana
Tarenna microcarpa (Guillaumin) Jérémie, 1974;Tarenna microcarpa
Tarenna rhypalostigma (Schltr.) Bremek., 1934;Tarenna rhypalostigma
Tarenna richardii Drake ex Verdc., 1983;Tarenna richardii
Tarenna sambucina (G.Forst.) T.Durand ex Drake, 1890;Tarenna sambucina
Tarenna sechellensis (Baker) Summerh.;Tarenna sechellensis
Tarenna spiranthera (Drake) Homolle, 1939;Tarenna spiranthera
Tarenna trichantha (Baker) Bremek., 1934;Tarenna trichantha
Tarenna truncatocalyx (Guillaumin) Bremek., 1934;Tarenna truncatocalyx
Tarenna unioensis (Guillaumin) Jérémie, 1974;Tarenna unioensis
Tarenna velutina (Cordem.) Verdc., 1983;Tarenna velutina
Tarenna verticillata Jérémie, 1974;Tarenna verticillata
Targionia hypophylla L., 1753;Targionia hypophylla
Targionia L., 1753;Targionia L
Targionia lorbeeriana Müll.Frib., 1940;Targionia lorbeeriana
Targioniaceae Dumort.;Targioniaceae Dumort
Tassadia Decne., 1844;Tassadia Decne
Tassadia guianensis Decne., 1844;Tassadia guianensis
Tassadia obovata Decne., 1844;Tassadia obovata
Tassadiinae Liede & Meve, 2014;Tassadiinae Liede
Taxaceae Gray, 1822 [nom. cons.];Taxaceae Gray
Taxeae Rich. ex Duby, 1828;Taxeae Rich
Taxilejeunea (Spruce) Steph., 1889;Taxilejeunea (Spruce)
Taxilejeunea asthenica (Spruce) Steph., 1914;Taxilejeunea asthenica
Taxilejeunea biapiculata Steph., 1914;Taxilejeunea biapiculata
Taxilejeunea conformis (Nees & Mont.) Steph., 1890;Taxilejeunea conformis
Taxilejeunea debilis (Lehm. & Lindenb.) Steph., 1890;Taxilejeunea debilis
Taxilejeunea fissistipula Steph., 1914;Taxilejeunea fissistipula
Taxilejeunea furcicornuta Grolle, 1974;Taxilejeunea furcicornuta
Taxilejeunea isocalycina (Nees) Steph., 1903;Taxilejeunea isocalycina
Taxilejeunea pterigonia (Lehm. & Lindenb.) Schiffn., 1893;Taxilejeunea pterigonia
Taxilejeunea pulchriflora Pearson, 1925;Taxilejeunea pulchriflora
Taxilejeunea surinamensis (Lindenb. & Gottsche) Steph., 1890;Taxilejeunea surinamensis
Taxiphyllaceae Ignatov, 2012;Taxiphyllaceae Ignatov
Taxiphyllum M.Fleisch., 1922;Taxiphyllum M
Taxiphyllum prostratum (Dozy & Molk.) W.R.Buck, 1987;Taxiphyllum prostratum
Taxiphyllum taxirameum (Mitt.) M.Fleisch., 1922;Taxiphyllum taxirameum
Taxiphyllum torrentium (Besch.) W.R.Buck, 1987;Taxiphyllum torrentium
Taxiphyllum wissgrillii (Garov.) Wijk & Margad., 1960;Taxiphyllum wissgrillii
Taxithelium concavum (Hook.) Spruce ex J.Florsch., 1996;Taxithelium concavum
Taxithelium instratum (Brid.) Broth., 1901;Taxithelium instratum
Taxithelium lindbergii (A.Jaeger) Renauld & Cardot, 1901;Taxithelium lindbergii
Taxithelium Mitt.;Taxithelium Mitt
Taxithelium neo-caledonicum Thér., 1910;Taxithelium neo-caledonicum
Taxithelium nepalense (Schwägr.) Broth., 1899;Taxithelium nepalense
Taxithelium planum (Brid.) Mitt., 1869;Taxithelium planum
Taxithelium pluripunctatum (Renauld & Cardot) W.R.Buck, 1983;Taxithelium pluripunctatum
Taxithelium portoricense R.S.Williams, 1927;Taxithelium portoricense
Taxithelium pseudoamoenum (Bél.) Renauld, 1898;Taxithelium pseudoamoenum
Taxithelium vernieri (Duby) Besch., 1898;Taxithelium vernieri
Taxodioideae Endl. ex K.Koch, 1873;Taxodioideae Endl
Taxodium distichum (L.) Rich., 1810;Taxodium distichum
Taxodium Rich., 1810;Taxodium Rich
Taxus baccata L., 1753;Taxus baccata
Taxus baccata x Taxus canadensis ;Taxus baccata
Taxus brevifolia Nutt., 1849;Taxus brevifolia
Taxus canadensis Marshall, 1785;Taxus canadensis
Taxus cuspidata Siebold & Zucc., 1846;Taxus cuspidata
Taxus L., 1753;Taxus L
Tayloria acuminata Hornsch., 1825;Tayloria acuminata
Tayloria froelichiana (Hedw.) Mitt. ex Broth., 1903;Tayloria froelichiana
Tayloria Hook., 1816;Tayloria Hook
Tayloria isleana (Besch.) Broth., 1903;Tayloria isleana
Tayloria lingulata (Dicks.) Lindb., 1879;Tayloria lingulata
Tayloria orthodonta (P.Beauv.) Wijk & Margad., 1968;Tayloria orthodonta
Tayloria serrata (Hedw.) Bruch & Schimp., 1844;Tayloria serrata
Tayloria splachnoides (Schleich. ex Schwägr.) Hook., 1816;Tayloria splachnoides
Tayloria tenuis (Dicks.) Schimp.;Tayloria tenuis
Tecoma capensis (Thunb.) Lindl., 1828;Tecoma capensis
Tecoma Juss., 1789;Tecoma Juss
Tecoma stans (L.) Juss. ex Kunth, 1819;Tecoma stans
Tecomanthe Baill., 1888;Tecomanthe Baill
Tecomanthe dendrophila (Blume) K.Schum., 1900;Tecomanthe dendrophila
Tecomanthe venusta S.Moore, 1923;Tecomanthe venusta
Tecomeae Endl., 1839;Tecomeae Endl
Tectaria antioquoiana (Baker) C.Chr., 1934;Tectaria antioquoiana
Tectaria Cav., 1799;Tectaria Cav
Tectaria decurrens (C.Presl) Copel., 1907;Tectaria decurrens
Tectaria dimorpha H.St.John, 1954;Tectaria dimorpha
Tectaria dissecta (G.Forst.) Lellinger, 1966;Tectaria dissecta
